,id,number,title,agencyCode,agency,openDate,closeDate,oppStatus,docType,cfdaList
0,347717,HHS-2023-ACL-NIDILRR-DPGE-0061,Understanding the Experience and Outcomes of Students with Disabilities who have 504 Plans,HHS-ACL,Administration for Community Living,04/24/2023,06/23/2023,posted,synopsis,['93.433']
1,343693,HHS-2023-ACF-ACYF-TS-0037,Title V Competitive Sexual Risk Avoidance Education,HHS-ACF-FYSB,Administration for Children & Families - ACYF/FYSB,05/19/2023,07/18/2023,posted,synopsis,['93.787']
2,346267,CDC-RFA-DP-23-0006,The Sudden Unexpected Infant Death (SUID) and Sudden Death in the Young (SDY) Case Registry,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,03/07/2023,06/01/2023,posted,synopsis,['93.946']
3,342936,CDC-RFA-DP-23-0005,The Innovative Cardiovascular Health Program,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,03/23/2023,05/23/2023,posted,synopsis,['93.426']
4,347924,DHS-ST-23-108-FR01,Terrorism and Targeted Violence Research and Evaluation,DHS-OPO,Office of Procurement Operations - Grants Division,05/04/2023,06/21/2023,posted,synopsis,['97.108']
5,342733,AH-TP2-23-002,Teen Pregnancy Prevention Tier 2 Adolescent Sexual Health Innovation Hubs,HHS-OPHS,Office of the Assistant Secretary for Health,04/06/2023,06/13/2023,posted,synopsis,['93.297']
6,333438,PAR-21-168,Summer Research Education Experience Program (R25 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,05/10/2021,05/07/2024,posted,synopsis,"['93.279', '93.113', '93.273', '93.286', '93.853']"
7,344177,HHS-2023-ACF-ACYF-CW-0055,State-Tribal Partnerships to Implement Best Practices in Indian Child Welfare,HHS-ACF-CB,Administration for Children and Families - ACYF/CB,04/11/2023,06/13/2023,posted,synopsis,['93.556']
8,348009,USDA-NRCS-UT-CTA-23-NOFO0001279,Soil Health Outreach in Utah,USDA-NRCS,Natural Resources Conservation Service,05/08/2023,07/08/2023,posted,synopsis,['10.902']
9,334228,RFA-HL-22-012,Short-Term Research Education Program to Enhance Diversity in Health-Related Research (R25 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,06/17/2021,02/23/2024,posted,synopsis,"['93.838', '93.837', '93.839', '93.840', '93.233']"
10,343845,HHS-2023-ACF-ACYF-SR-0035,Sexual Risk Avoidance Education Program,HHS-ACF-FYSB,Administration for Children & Families - ACYF/FYSB,05/19/2023,07/18/2023,posted,synopsis,['93.060']
11,346847,HHS-2023-ACL-NIDILRR-DPEM-0001,Scaling Up Evidence-Based Services to Promote Competitive Integrated Employment Among People with Disabilities,HHS-ACL,Administration for Community Living,04/26/2023,06/26/2023,posted,synopsis,['93.433']
12,346623,RFA-ES-23-005,SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,03/06/2023,07/14/2023,posted,synopsis,['93.142']
13,340917,HRSA-23-049,Rural Maternity and Obstetrics Management Strategies Program,HHS-HRSA,Health Resources and Services Administration,05/15/2023,07/07/2023,posted,synopsis,['93.912']
14,347523,RDBCP-REAP-RES-EEI-2023-2024,Rural Energy for America Program,USDA-RBCS,Rural Business-Cooperative Service ,04/14/2023,09/30/2024,posted,synopsis,['10.868']
15,340671,HHS-2023-ACF-ORR-ZU-0162,Residential (Long Term Foster Care) Services for Unaccompanied Children,HHS-ACF-ORR,Administration for Children and Families - ORR,09/30/2022,07/07/2023,posted,synopsis,['93.676']
16,345653,FA9550-23-S-0001,Research Interests of the Air Force Office of Scientific Research,DOD-AFOSR,Air Force Office of Scientific Research,01/30/2023,,posted,synopsis,['12.800']
17,332637,PAR-21-188,Research Experiences to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,04/05/2021,01/29/2024,posted,synopsis,['93.173']
18,330285,PAR-21-075,Research Experiences in Genomic Research for Data Scientists (R25),HHS-NIH11,National Institutes of Health,12/09/2020,05/25/2023,posted,synopsis,['93.172']
19,279638,RDBCP-REAP-RES-EEI-2016,Renewable Energy Systems and Energy Efficiency Improvements Program,USDA-RBCS,Rural Business-Cooperative Service ,10/13/2015,,posted,synopsis,['10.868']
20,342572,HHS-2023-ACL-NIDILRR-RTGE-0028,Rehabilitation Research and Training Center (RRTC) on Disability Statistics and Demographics,HHS-ACL,Administration for Community Living,04/04/2023,06/05/2023,posted,synopsis,['93.433']
21,346785,HHS-2023-ACL-NIDILRR-RTCP-0050,"Rehabilitation Research and Training Center (RRTC) on Community Living and Participation Among Transition Age Youth with Serious Mental Health Conditions From Disadvantaged, Vulnerable, or Marginalized Backgrounds",HHS-ACL,Administration for Community Living,05/10/2023,07/10/2023,posted,synopsis,['93.433']
